Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error,,
1.62397s,Vector SLP3,36 27 01 F0 B6 FC 01 F0 1B FD 20 78 01 28 00 F0 33 82 00 F0 28 BA D5 E1 7B E1 A7 E0 00 E0 2A E2 F8 B9 66 71 A5 71 26 72 01 20 03 F0 6C F8 01 20 03 F0 37 F8 64 20 E0 82 25 83 FF F7 03 F8 07 F0 C9 F8 01 28 04 BF E0 7B 00 28 7A D0 02 F0 52 FF 4F F4 48 41 A5 85 01 28 E1 85 0C BF A5 74 A6 74 26 74 A0 8A 40 45 3C BF 40 1C A0 82 B4 F9 1E 00 1E 28 04 DD 20 7C 01 28 08 BF FE F7 EC FF 05 F0 7C FA,1.62840s,Vector SLP3,76 27,,,
1.65460s,Vector SLP3,36 28 02 90 05 F0 85 FA 01 90 05 F0 7E FA 00 90 05 F0 77 FA 80 46 05 F0 5A FA 01 46 09 48 CD E9 0C 0B 17 38 0F E0 6C 00 00 18 00 60 00 50 36 00 00 18 00 00 63 08 00 00 CB 02 98 33 01 11 50 30 04 00 8A 00 00 18 CD E9 0A 70 FD 4B 4F F4 7E 52 CD E9 08 23 CD E9 0E A9 B4 F9 2C 30 B4 F8 2E C0 02 98 CD E9 04 02 CD E9 06 C3 DD E9 00 02 23 78 CD E9 00 38 CD E9 02 02 63 8C 22 8C E0 8A 04 F0 84 FF,1.65927s,Vector SLP3,76 28,,,
1.68561s,Vector SLP3,36 29 B4 F9 1E 00 00 28 05 DD 01 03 44 F2 05 30 B1 FB F0 F0 20 83 04 F0 14 FB 01 F0 86 FA C0 B1 07 F0 62 F8 01 28 14 D0 E0 79 C8 B1 20 7C 01 28 08 BF FE F7 B5 FF FE F7 E6 FF 01 28 09 D0 0B E0 FF E7 20 7B C0 01 A0 85 E0 7A C0 00 E0 85 25 74 87 E7 26 70 00 F0 87 B9 03 20 20 70 00 F0 83 B9 20 78 02 28 40 F0 7F 81 00 F0 86 B9 05 F0 EF F9 00 28 D8 BF 25 83 07 DD 05 F0 E9 F9 01 03 44 F2 05 30,1.69014s,Vector SLP3,76 29,,,
1.71638s,Vector SLP3,36 2A B1 FB F0 F0 20 83 A0 8A 40 B9 65 71 A5 71 26 72 A6 72 20 8B E0 82 64 21 48 43 E0 63 01 F0 5E FC E0 84 01 F0 5E FC 20 85 FE F7 CE FE A0 84 FE F7 DB FE 20 86 FE F7 BE FF 20 B1 20 8B E0 82 64 21 48 43 E0 63 05 F0 D8 F9 03 90 05 F0 E1 F9 02 90 05 F0 DA F9 01 90 05 F0 D3 F9 00 90 05 F0 B6 F9 01 46 B8 48 CD E9 0C 0B CD E9 0E A9 B4 F9 30 30 B3 4A 17 38 CD E9 08 32 CD E9 0A 70 0D F1 10 0E,1.72101s,Vector SLP3,76 2A,,,
1.74811s,Vector SLP3,36 2B 03 98 B4 F9 2C C0 E3 8D B4 F9 24 20 8E E8 0D 10 20 78 DD E9 00 23 DD F8 08 C0 8D E8 0D 10 63 8C 22 8C E0 8A 04 F0 F0 FE A0 8A 00 28 08 BF 05 F0 13 FA A0 8A 40 45 3C BF 40 1C A0 82 B7 F9 02 20 07 23 A1 49 03 20 01 F0 77 FF 4F F4 00 62 9F 49 01 F0 A1 FF A0 6C 07 23 00 14 20 87 B7 F9 02 20 9B 49 03 20 01 F0 68 FF 4F F4 00 62 99 49 01 F0 92 FF 60 6C 00 14 E0 86 01 F0 D6 F9 64 21 41 43,1.75249s,Vector SLP3,76 2B,,,
1.77911s,Vector SLP3,36 2C 36 D0 20 8B 00 F5 7A 72 02 EB C2 00 00 EB 02 13 E0 6B B0 EB 83 0F 84 BF 64 20 50 43 0C D8 E2 8C 02 44 91 42 88 BF E2 63 07 D8 22 8D 8B 18 83 42 34 BF 80 1A E1 63 00 D2 E0 63 87 49 E0 6B A1 FB 00 10 40 09 E0 82 04 F0 3B FA 01 F0 AD F9 00 28 3F F4 3E AF 01 F0 AB F9 01 28 3F F4 39 AF 06 F0 82 FF 01 28 3F F4 34 AF 20 78 03 28 7E D0 B9 E0 E0 6B 42 F2 10 71 88 42 08 D3 06 F0 6A FF 01 28,1.78373s,Vector SLP3,76 2C,,,
1.80999s,Vector SLP3,36 2D 04 D0 21 8D E0 6B 40 1A E0 63 D6 E7 E5 63 D4 E7 F0 B3 A0 8A 40 45 3C BF 40 1C A0 82 05 F0 2C F9 80 46 05 F0 35 F9 02 90 05 F0 2E F9 01 90 05 F0 27 F9 00 90 05 F0 0A F9 01 46 62 48 CD E9 0C 0B 17 38 5F 4B CD E9 0A 70 4F F4 7E 52 CD E9 08 23 CD E9 0E A9 B4 F9 2C 00 E3 8D CD E9 06 30 CD E9 04 82 20 78 DD E9 00 23 DD F8 08 C0 8D E8 0D 10 63 8C 22 8C E0 8A 04 F0 47 FE 01 F0 55 F9 C0 B1,1.81460s,Vector SLP3,76 2D,,,
1.84197s,Vector SLP3,36 2E 06 F0 31 FF 01 28 14 D0 A0 8A 61 8D 88 42 00 E0 04 E0 12 D3 02 20 20 70 26 72 63 E0 65 71 A5 71 25 72 60 8D 00 28 18 BF 03 F0 02 FC E5 82 25 83 AF E7 03 F0 07 FC 26 70 54 E0 20 78 04 28 5A D0 50 E0 E8 B3 40 45 01 D2 40 1C A0 82 05 F0 D4 F8 80 46 05 F0 DD F8 02 90 05 F0 D6 F8 01 90 05 F0 CF F8 00 90 05 F0 B2 F8 01 46 00 E0 43 E0 35 48 CD E9 0C 0B 17 38 32 4B CD E9 0A 70 4F F4 7E 52,1.84646s,Vector SLP3,76 2E,,,
1.87269s,Vector SLP3,36 2F CD E9 08 23 CD E9 0E A9 B4 F9 2C 00 E3 8D CD E9 06 30 CD E9 04 82 20 78 DD E9 00 23 DD F8 08 C0 8D E8 0D 10 63 8C 22 8C E0 8A 04 F0 ED FD 01 F0 FF FA 2A 49 48 43 00 14 E0 83 04 F0 81 F9 00 E0 12 E0 01 F0 F1 F8 00 28 3F F4 82 AE 06 F0 CB FE 01 28 3F F4 7D AE A0 8A 0B 28 BF F4 7C AE 20 78 05 28 08 D0 A5 82 06 E0 66 71 A5 71 26 72 21 8B E1 82 A9 E7 26 70 1B 48 21 8B 19 4A 83 89 D0 F8,1.87733s,Vector SLP3,76 2F,,,
1.90365s,Vector SLP3,36 30 00 C0 00 EB 43 03 9F 88 AC EB 07 0C 8C 44 C0 F8 00 C0 99 80 81 89 49 1C 89 B2 81 81 04 29 28 BF 85 81 90 F8 20 10 00 29 08 BF 80 F8 20 60 30 D0 80 F8 20 50 01 68 83 8B C1 F3 8F 01 14 E0 00 00 C0 02 00 18 8A 00 00 18 9E 33 01 11 B4 00 00 18 B0 33 01 11 B0 00 00 18 1F 85 EB 51 50 30 04 00 86 00 00 18 F8 04 00 18 00 EB 43 03 D0 F8 10 C0 9F 8A AC EB 07 0C 8C 44 C0 F8 10 C0 99 82 81 8B,1.90820s,Vector SLP3,76 30,,,
1.93553s,Vector SLP3,36 31 49 1C 89 B2 81 83 04 29 28 BF 85 83 00 69 80 08 10 80 66 72 11 B0 BD E8 F0 8F B6 B6 10 B5 4F F0 40 20 01 6D 21 F4 80 71 01 65 81 69 41 F0 02 02 81 69 62 F3 07 01 81 61 01 6D 41 F4 80 71 01 65 BA 48 41 79 00 29 04 BF 0A 21 41 71 00 21 81 81 01 61 4F F4 7A 71 01 20 02 F0 78 FD BD E8 10 40 01 20 02 F0 B9 BD 10 B5 4F F0 40 20 01 6D 21 F4 80 71 01 65 81 69 01 F0 FD 02 81 69 62 F3 07 01,1.94005s,Vector SLP3,76 31,,,
1.96633s,Vector SLP3,36 32 81 61 01 6D 41 F4 80 71 01 65 01 20 02 F0 BA FD BD E8 10 40 01 20 02 F0 83 BD 4F F0 40 20 C0 6E C0 F3 89 00 70 47 A1 48 80 89 70 47 00 28 1C BF 9E 49 48 71 70 47 4F F0 40 20 C0 6E C0 F3 89 01 9A 48 82 89 8A 42 08 D0 89 1A 43 79 02 69 09 B2 03 FB 01 21 01 61 09 0A 81 81 81 79 49 1C 81 71 70 47 93 49 FF 28 04 D2 8A 8D 60 F3 07 02 8A 85 70 47 88 8D 20 F0 FF 00 34 30 88 85 70 47 83 1E,1.97092s,Vector SLP3,76 32,,,
1.99822s,Vector SLP3,36 33 8C 4A 1E 2B 04 D2 93 68 60 F3 04 03 93 60 03 E0 90 68 40 F0 1F 00 90 60 88 1E 1E 28 90 68 34 BF 61 F3 0C 20 40 F4 F8 50 90 60 70 47 70 B4 4F F0 00 0C 7E 49 7F 4A 64 46 FF 25 02 E0 BC F1 06 0F 04 D2 56 68 63 46 46 F0 00 46 05 E0 AC F1 06 03 56 68 DB B2 26 F0 00 46 56 60 06 2B 26 D2 DF E8 03 F0 03 09 0F 15 1B 21 53 68 23 F0 E0 43 03 F1 80 53 1A E0 53 68 23 F0 E0 43 03 F1 A0 43 14 E0,2.00277s,Vector SLP3,76 33,,,
2.03019s,Vector SLP3,36 34 53 68 23 F0 E0 43 03 F1 00 53 0E E0 53 68 23 F0 E0 43 03 F1 C0 43 08 E0 53 68 23 F0 E0 43 03 F1 40 53 02 E0 53 68 43 F0 E0 43 53 60 53 68 43 F0 80 63 53 60 8C 71 53 68 13 F0 00 6F 02 D1 8B 79 04 2B F8 D3 53 68 13 F0 00 6F 08 BF 00 F8 0C 40 0B D0 53 68 C3 F3 09 43 FF 2B 88 BF 00 F8 0C 50 03 D8 53 68 1B 0C 00 F8 0C 30 0C F1 01 03 03 F0 FF 0C BC F1 0C 0F A1 D3 70 BC 70 47 4B 48 00 89,2.03463s,Vector SLP3,76 34,,,
2.06185s,Vector SLP3,36 35 70 47 4A 48 00 78 70 47 48 48 40 78 70 47 47 48 B0 F9 0A 00 70 47 45 48 80 78 70 47 43 48 C0 78 70 47 42 49 00 20 09 79 11 F0 01 0F 18 BF 01 20 70 47 00 20 3D 49 09 79 11 F0 02 0F 18 BF 01 20 70 47 00 20 39 49 09 79 11 F0 04 0F 18 BF 01 20 70 47 2D E9 F0 07 04 46 DD E9 07 65 DD E9 09 87 00 20 DD F8 2C C0 B4 F5 7A 6F 16 D8 00 29 18 BF 00 2A 12 D0 A3 F1 0A 09 43 F2 F7 1A D1 45 0C D2,2.06649s,Vector SLP3,76 35,,,
2.09263s,Vector SLP3,36 36 00 2E 18 BF 00 2D 08 D0 BC F1 01 0F 08 BF 08 F5 C8 50 02 D0 BC F1 00 0F 03 D0 BD E8 F0 07 01 20 70 47 DF F8 88 C0 AC F8 08 40 8C F8 00 10 8C F8 01 20 AC F8 0A 30 8C F8 02 60 8C F8 03 50 BD E8 F0 07 70 47 F0 B4 05 46 DD E9 05 64 00 20 04 9F B5 F5 7A 6F 07 D8 00 29 18 BF 00 2A 03 D0 14 F0 01 0F 04 D0 08 E0 F0 BC 4F F0 01 00 70 47 00 2B F9 D0 B3 F5 48 5F F6 D8 00 2F 18 BF 00 2E F2 D0,2.09698s,Vector SLP3,76 36,,,
2.12360s,Vector SLP3,36 37 07 2C F0 D8 DF F8 24 C0 AC F8 08 50 8C F8 00 10 8C F8 01 20 AC F8 0A 30 8C F8 02 70 8C F8 03 60 8C F8 04 40 F0 BC 70 47 70 47 00 00 B8 00 00 18 00 C0 00 40 00 40 03 40 FE 48 40 89 70 47 FD 48 80 89 70 47 FB 48 C0 89 70 47 FA 48 00 78 70 47 F8 48 40 78 70 47 F7 48 80 78 70 47 F5 48 00 8A 80 B2 70 47 F3 48 C1 88 49 1C C1 80 01 21 01 70 70 47 F0 48 00 21 01 70 81 88 49 1C 81 80 70 47,2.12822s,Vector SLP3,76 37,,,
2.15436s,Vector SLP3,36 38 00 20 70 47 70 47 70 47 70 47 70 B5 EA 4D 4F F2 F0 12 EA 4C B5 F8 01 00 40 BA 81 1A 90 42 40 D0 0B DC 00 F6 79 60 B0 F5 80 30 12 D0 02 28 1A D0 0A 28 2C D0 1C 28 20 D0 06 E0 04 26 01 29 46 D0 02 29 4D D0 03 29 54 D0 BD E8 70 40 12 20 08 F0 81 BE 0C 22 22 80 DA 49 E8 1C 0C F0 A5 FE BD E8 70 40 08 F0 9F BE 09 22 22 80 D6 49 E8 1C 0C F0 9B FE BD E8 70 40 08 F0 95 BE 05 22 22 80 D2 49,2.15909s,Vector SLP3,76 38,,,
2.18544s,Vector SLP3,36 39 E8 1C 0C F0 91 FE BD E8 70 40 08 F0 8B BE 0D 22 22 80 CE 49 E8 1C 0C F0 87 FE BD E8 70 40 08 F0 81 BE 06 F0 12 FC A5 F8 03 00 06 F0 CC FB A5 F8 05 00 06 F0 84 FB A5 F8 07 00 06 F0 3D FB A5 F8 09 00 0A 20 20 80 BD E8 70 40 08 F0 6B BE C0 48 00 88 A5 F8 03 00 26 80 BD E8 70 40 08 F0 62 BE 09 F0 CA FB A5 F8 03 00 26 80 BD E8 70 40 08 F0 59 BE 09 F0 DE FC A5 F8 03 00 26 80 BD E8 70 40,2.18994s,Vector SLP3,76 39,,,
2.21720s,Vector SLP3,36 3A 08 F0 50 BE 70 47 00 20 70 47 01 21 01 70 02 21 41 70 03 21 81 70 04 21 C1 70 00 20 70 47 00 20 70 47 70 B5 AB 48 84 B0 01 68 C1 F3 02 41 05 29 09 D0 01 68 21 F0 06 01 89 1C 01 60 01 68 C1 F3 02 41 05 29 F5 D1 01 68 21 F4 C0 51 01 60 01 68 41 F0 06 01 01 60 0E 23 02 22 9F A1 02 A8 0D F0 CD F8 97 4C 9E A0 00 25 01 68 21 60 40 68 60 60 25 72 02 A9 20 46 0C F0 3B FE 9C A1 9C A0 0C F0,2.22181s,Vector SLP3,76 3A,,,
2.24914s,Vector SLP3,36 3B 43 FE 00 28 24 D0 9A A1 99 A0 0C F0 3D FE 18 B1 98 A1 02 A8 0D F0 B2 F8 86 4E 95 A0 02 A9 00 88 30 83 B5 76 06 F1 18 00 0C F0 22 FE 92 A0 00 68 70 61 92 A0 01 68 C4 F8 0B 10 41 68 C4 F8 0F 10 80 68 C4 F8 13 00 04 B0 BD E8 70 40 08 F0 AE BD 02 20 01 21 CD E9 00 01 02 46 0E 23 8A A1 02 A8 0D F0 8C F8 D8 E7 7B 48 00 68 C0 F3 80 20 70 47 78 48 01 68 41 F4 00 71 01 60 70 47 75 48 01 68,2.25367s,Vector SLP3,76 3B,,,
2.28006s,Vector SLP3,36 3C 21 F4 00 71 01 60 70 47 72 48 01 68 C1 F3 02 41 01 29 08 D0 01 68 21 F0 06 01 01 60 01 68 C1 F3 02 41 01 29 F6 D1 01 68 41 F4 00 11 01 60 01 68 41 F4 00 11 01 60 01 68 41 F0 06 01 01 60 01 68 41 F4 00 71 01 60 70 47 72 48 01 78 59 48 C2 78 11 43 C1 70 70 47 2D E9 F8 4F 56 4E 01 27 4F F0 00 08 30 89 B0 F5 C8 7F 2F BF 77 70 86 F8 01 80 40 1C 30 81 68 48 01 78 11 F0 01 0F 29 D0 21 F0,2.28453s,Vector SLP3,76 3C,,,
2.31094s,Vector SLP3,36 3D 01 01 01 70 A6 F8 08 80 08 F0 60 FE 04 B2 B4 F5 7F 7F 88 BF 00 24 13 D8 94 B1 20 46 0C F0 7F FE 03 21 0C F0 70 FE 0C F0 88 FE 04 B2 64 2C B8 BF 64 24 05 DB 41 F2 94 10 A0 42 B8 BF 41 F2 94 14 02 F0 51 FB 74 81 02 F0 56 FB 4F F4 FA 70 B0 81 F0 81 52 4D 28 78 10 F0 01 0F 00 F0 2D 81 20 F0 01 00 28 70 08 F0 0E FA 70 89 0C F0 61 FE 6F F0 02 01 0C F0 48 FE 0C F0 60 FE 00 B2 0C F0 4F FE,2.31539s,Vector SLP3,76 3D,,,
2.34276s,Vector SLP3,36 3E 0C F0 74 FE 46 4C 01 0A 20 70 60 78 61 F3 01 00 60 70 08 F0 0E FA 08 F0 F5 F9 FE F7 CE FA A1 78 60 F3 45 11 A1 70 08 F0 04 FA 08 F0 EB F9 FF F7 A8 F8 0C F0 3D FE 6F F0 02 01 0C F0 24 FE 0C F0 3C FE 00 B2 0C F0 2B FE 0C F0 50 FE 61 78 60 F3 87 01 61 70 FF F7 95 F8 0C F0 2A FE 6F F0 02 01 0C F0 11 FE 0C F0 29 FE 00 B2 0C F0 18 FE 0C F0 3D FE 81 09 A0 78 61 F3 03 00 A0 70 08 F0 D9 F9,2.34725s,Vector SLP3,76 3E,,,
2.37366s,Vector SLP3,36 3F 08 F0 C0 F9 DF F8 9C 90 99 F8 00 00 41 09 A0 78 61 F3 86 10 A0 70 08 F0 CC F9 01 F0 21 FF C0 09 0C F0 06 FE 20 49 0C F0 64 FD 0C F0 06 FE 0F FA 80 FA 3B E0 CC 00 00 18 19 09 00 18 D8 03 00 18 1C 05 00 18 E4 00 00 18 E0 00 00 18 27 05 00 18 3C 04 00 18 00 E0 01 48 25 30 2A 64 00 00 00 00 45 30 34 30 5F 43 35 57 00 00 00 00 44 4C 00 00 4E 4C 00 00 65 72 72 00 39 30 30 00 45 30 34 30,2.37811s,Vector SLP3,76 3F,,,
2.40555s,Vector SLP3,36 40 5F 43 35 57 5F 30 39 00 25 30 2A 64 5F 25 30 2A 64 00 00 00 00 40 00 50 21 04 00 18 25 04 00 18 DA 03 00 18 4E 01 00 18 00 00 40 C2 08 F0 6A F9 BA F1 FF 0F 88 BF 4F F0 FF 0A 84 F8 03 A0 08 F0 78 F9 08 F0 5F F9 99 F8 00 00 C1 09 A0 78 61 F3 C7 10 A0 70 08 F0 6D F9 00 F0 60 FB 32 30 0F FA 80 FA 08 F0 4F F9 BA F1 FE 0F 88 BF 4F F0 FE 0A 84 F8 04 A0 08 F0 5D F9 08 F0 44 F9 99 F8 00 00,2.40997s,Vector SLP3,76 40,,,
2.43613s,Vector SLP3,36 41 C1 08 60 79 61 F3 00 00 60 71 08 F0 52 F9 08 F0 39 F9 04 F0 26 FC 61 79 60 F3 41 01 61 71 08 F0 48 F9 08 F0 2F F9 B9 F8 00 00 41 0A 60 79 61 F3 82 00 60 71 08 F0 3D F9 08 F0 24 F9 B9 F8 00 00 C1 0A 60 79 61 F3 C3 00 60 71 08 F0 32 F9 08 F0 19 F9 04 F0 FF FB 61 79 60 F3 04 11 61 71 08 F0 28 F9 08 F0 0F F9 99 F8 00 00 01 09 60 79 61 F3 45 10 60 71 08 F0 1D F9 08 F0 04 F9 B9 F8 00 00,2.44084s,Vector SLP3,76 41,,,
2.46731s,Vector SLP3,36 42 01 0B 60 79 61 F3 86 10 60 71 08 F0 12 F9 08 F0 F9 F8 A0 79 20 F0 0F 00 40 1C A0 71 08 F0 09 F9 08 F0 F0 F8 A0 79 20 F0 F0 00 A0 71 E0 79 20 F0 0F 00 E0 71 08 F0 FD F8 28 78 10 F0 02 0F 78 D0 20 F0 02 00 28 70 08 F0 DD F8 09 F0 B2 FA EE 4C 00 F5 00 40 20 70 09 F0 AC FA 00 F5 00 40 00 0A 60 70 08 F0 E6 F8 08 F0 CD F8 FE F7 B9 F8 C0 09 A0 70 FE F7 B5 F8 C0 F3 C0 30 E0 70 08 F0 D9 F8,2.47170s,Vector SLP3,76 42,,,
2.49790s,Vector SLP3,36 43 08 F0 C0 F8 FE F7 B0 F8 C0 09 20 71 FE F7 AC F8 C0 F3 C0 30 60 71 08 F0 CC F8 08 F0 B3 F8 FE F7 93 F8 C0 09 A0 71 FE F7 8F F8 C0 F3 C0 30 E0 71 08 F0 BF F8 08 F0 A6 F8 04 F0 AE FB D3 4C 01 0A A0 78 61 F3 07 10 A0 70 04 F0 A6 FB 01 0B E0 78 61 F3 03 00 E0 70 08 F0 AC F8 08 F0 93 F8 FE F7 6C F9 E1 78 60 F3 04 11 E1 70 08 F0 A2 F8 08 F0 89 F8 DF F8 1C 93 99 F8 00 00 81 09 E0 78 61 F3,2.50256s,Vector SLP3,76 43,,,
2.52985s,Vector SLP3,36 44 45 10 E0 70 08 F0 95 F8 08 F0 7C F8 B9 F8 00 00 01 0B E0 78 61 F3 86 10 E0 70 08 F0 8A F8 08 F0 71 F8 04 F0 57 FB E1 78 60 F3 C7 11 E1 70 08 F0 80 F8 28 78 10 F0 04 0F 79 D0 20 F0 04 00 28 70 69 46 01 20 08 F0 B3 FD 08 F0 5C F8 B1 4C BD F8 00 00 20 70 01 0A 60 78 61 F3 01 00 60 70 08 F0 68 F8 08 F0 4F F8 01 F0 C1 FD 61 78 60 F3 87 01 61 70 01 F0 BB FD 81 09 A0 78 61 F3 01 00 A0 70,2.53441s,Vector SLP3,76 44,,,
2.56064s,Vector SLP3,36 45 08 F0 57 F8 08 F0 3E F8 01 F0 FC FA A1 78 60 F3 87 01 A1 70 01 F0 F6 FA 81 09 E0 78 61 F3 03 00 E0 70 08 F0 46 F8 08 F0 2D F8 FE F7 19 F9 E1 78 60 F3 87 11 E1 70 FE F7 13 F9 81 08 20 79 61 F3 05 00 20 71 08 F0 35 F8 08 F0 1C F8 FE F7 05 F9 21 79 60 F3 87 11 21 71 FE F7 FF F8 81 08 60 79 61 F3 05 00 60 71 08 F0 24 F8 08 F0 0B F8 FE F7 00 F9 61 79 60 F3 87 11 61 71 FE F7 FA F8 81 08,2.56528s,Vector SLP3,76 45,,,
2.59167s,Vector SLP3,36 46 A0 79 61 F3 05 00 A0 71 08 F0 13 F8 07 F0 FA FF FE F7 E0 F8 A1 79 60 F3 87 11 A1 71 FE F7 DA F8 81 08 E0 79 61 F3 05 00 E0 71 08 F0 02 F8 28 78 10 F0 08 0F 2A D0 20 F0 08 00 28 70 07 F0 E2 FF FE F7 DD F8 74 4C 20 70 07 F0 F3 FF 07 F0 DA FF 84 F8 01 80 07 F0 ED FF 07 F0 D4 FF FE F7 C6 F8 A0 70 07 F0 E6 FF 07 F0 CD FF FE F7 C5 F8 E0 70 07 F0 DF FF 69 46 02 20 08 F0 19 FD 07 F0 C2 FF,2.59614s,Vector SLP3,76 46,,,
2.62243s,Vector SLP3,36 47 BD F8 00 00 80 08 20 71 07 F0 D3 FF 28 78 10 F0 10 0F 0F D0 20 F0 10 00 28 70 07 F0 B3 FF 5F 4C 10 20 27 70 60 70 07 F0 C4 FF 07 F0 AB FF A7 70 07 F0 BF FF 28 78 10 F0 80 0F 7C D0 20 F0 80 00 28 70 FE F7 76 FE 40 F2 FC 75 58 B1 04 F0 94 FA 00 09 07 B2 07 F0 96 FF AF 42 88 BF 40 F2 FC 70 03 D9 03 E0 00 27 07 F0 8D FF 38 46 4C 4C AF 42 20 70 88 BF 40 F2 FC 77 39 0A 60 78 61 F3 01 00,2.62702s,Vector SLP3,76 47,,,
2.65314s,Vector SLP3,36 48 60 70 07 F0 96 FF FE F7 54 FE 50 B1 04 F0 8E FA 07 09 07 F0 77 FF AF 42 88 BF 40 F2 FC 70 03 D9 03 E0 00 27 07 F0 6E FF 38 46 61 78 AF 42 60 F3 C7 01 61 70 88 BF 40 F2 FC 77 79 09 A0 78 61 F3 05 00 A0 70 07 F0 75 FF FE F7 33 FE DF F8 D4 80 58 B1 B8 F9 00 00 00 09 07 B2 07 F0 53 FF AF 42 88 BF 40 F2 FC 70 03 D9 03 E0 00 27 07 F0 4A FF 38 46 A1 78 AF 42 60 F3 87 11 A1 70 8C BF 40 F2,2.65750s,Vector SLP3,76 48,,,
2.68422s,Vector SLP3,36 49 FC 70 38 46 4F EA 90 00 E0 70 88 BF 40 F2 FC 77 4F EA 97 21 20 79 61 F3 00 00 20 71 07 F0 49 FF FE F7 07 FE 68 B1 B8 F9 02 00 00 09 07 B2 07 F0 29 FF AF 42 00 E0 17 E0 88 BF 40 F2 FC 70 03 D9 03 E0 00 27 07 F0 1E FF 38 46 21 79 AF 42 60 F3 47 01 21 71 88 BF 40 F2 FC 77 F9 09 60 79 61 F3 03 00 60 71 07 F0 25 FF 08 F0 3E FB 30 82 08 F0 44 FB 70 82 BD E8 F8 8F 0B 49 08 82 70 47 0A 49,2.68875s,Vector SLP3,76 49,,,
2.71591s,Vector SLP3,36 4A 09 8A 01 80 70 47 00 00 03 04 00 18 E4 03 00 18 36 00 00 18 E8 03 00 18 F0 03 00 18 F5 03 00 18 0B 04 00 18 AC 00 00 18 CC 00 00 18 2D E9 F0 4F 76 4C 77 4D 97 B0 B4 F9 04 00 02 AB 05 22 05 F1 08 01 0C F0 D8 F9 83 46 B4 F9 00 00 01 AB 0C 22 05 F1 BC 01 0C F0 CF F9 82 46 B4 F9 02 00 04 AB 05 22 05 F1 14 01 0C F0 C6 F9 81 46 BD F8 04 00 AD F8 14 00 BD F8 10 00 AD F8 16 00 8D F8 18 A0,2.72060s,Vector SLP3,76 4A,,,
2.74692s,Vector SLP3,36 4B 8D F8 19 90 0D 23 05 F1 D6 02 05 A9 06 A8 00 95 0C F0 2F F9 80 46 BD F8 04 00 AD F8 1C 00 BD F8 10 00 AD F8 1E 00 8D F8 20 A0 8D F8 21 90 0D 23 05 F5 B9 72 07 A9 08 A8 00 95 0C F0 1A F9 07 46 BD F8 04 00 AD F8 24 00 BD F8 10 00 8D F8 28 A0 AD F8 26 00 8D F8 29 90 0D 23 05 F2 0E 22 09 A9 0A A8 00 95 0C F0 05 F9 06 46 BD F8 04 00 AD F8 2C 00 BD F8 10 00 AD F8 2E 00 8D F8 30 A0 8D F8,2.75147s,Vector SLP3,76 4B,,,
2.77871s,Vector SLP3,36 4C 31 90 0D 23 05 F2 AA 22 0B A9 0C A8 00 95 0C F0 F0 F8 04 46 BD F8 04 00 AD F8 34 00 BD F8 10 00 AD F8 36 00 8D F8 38 A0 8D F8 39 90 0D 23 05 F2 46 32 0D A9 0E A8 00 95 0C F0 DB F8 BB F1 05 0F 2B D2 DF E8 0B F0 03 1B 1F 23 27 00 BD F8 04 00 AD F8 3C 00 BD F8 10 00 AD F8 3E 00 8D F8 40 A0 8D F8 41 90 0D 23 05 F1 20 02 0F A9 10 A8 00 95 0C F0 00 F9 AD F8 04 00 40 46 10 E0 AD F8 04 80,2.78332s,Vector SLP3,76 4C,,,
2.80968s,Vector SLP3,36 4D 38 46 0C E0 AD F8 04 70 30 46 08 E0 AD F8 04 60 20 46 04 E0 AD F8 04 40 01 E0 AD F8 04 00 BD F9 04 10 40 1A B0 F5 00 4F AE BF 47 F6 FF 70 10 F5 00 4F 18 48 BD F9 08 20 50 43 C0 11 B0 F5 00 4F AE BF 47 F6 FF 70 10 F5 00 4F 12 48 41 F2 7B 42 50 43 00 13 B0 F5 00 4F AE BF 47 F6 FF 70 10 F5 00 4F 0C 48 41 F2 7B 42 51 43 01 EB 00 30 0A 49 C0 14 08 80 17 B0 BD E8 F0 8F 10 B5 03 48 0C F0,2.81419s,Vector SLP3,76 4D,,,
2.84056s,Vector SLP3,36 4E 11 FC 05 49 00 20 08 80 10 BD 00 00 EE 00 00 18 C4 33 01 11 00 80 FF FF EC 00 00 18 4A 48 B0 F9 02 00 70 47 48 48 B0 F9 06 00 70 47 46 48 B0 F9 04 00 70 47 44 48 B0 F9 0A 00 70 47 42 48 00 78 70 47 70 B5 01 F0 C4 F8 01 F0 DF F9 01 F0 9D F8 04 46 01 F0 D3 F9 05 46 04 F0 CE F8 01 F0 B5 F8 01 00 03 D1 3C 2C A8 BF 20 46 13 DA 28 46 32 2C 10 DD 79 B9 A4 F1 32 01 09 B2 01 FB 04 F2 C1 F1,2.84506s,Vector SLP3,76 4E,,,
